# Groundwater resource supply curves for all basins - 5% extraction scenario
# Based on global hydrogeological maps and cost extraction model
# Source: Yonkofski et al. (in review) Cost and accessibility of global non-renewable groundwater resources
# Units: price in 1975USD; available in km3
basin.id,price,available,grade
1,0.002,51.290692,grade1
1,0.022,61.348569181,grade2
1,0.044,21.59105514,grade3
1,0.066,27.802096000000002,grade4
1,0.088,23.620700000000003,grade5
1,0.11,3.1488133,grade6
1,0.132,44.2881933,grade7
1,0.154,6.504052543,grade8
1,0.176,13.055013503000001,grade9
1,0.198,4.8119009,grade10
1,0.22,51.163406200000004,grade11
1,0.44,12.289119000000001,grade12
1,0.66,4.0806865000000005,grade13
1,0.88,4.9353370000000005,grade14
1,1.1,3.5416823,grade15
1,1.32,3.6805643000000003,grade16
1,1.54,1.1453099,grade17
1,1.76,0.5232128,grade18
1,1.98,1.9733072,grade19
1,2.2,5.996053300000001,grade20
1,4.4,0.0018003547000000003,grade21
1,6.6,0.09764527,grade22
1,8.8,0,grade23
1,20.9,0,grade24
2,0.002,50.376538755000006,grade1
2,0.022,711.230831514,grade2
2,0.044,814.862558106,grade3
2,0.066,562.6188414310001,grade4
2,0.088,489.272566702,grade5
2,0.11,534.058392742,grade6
2,0.132,1093.867773011,grade7
2,0.154,754.656841909,grade8
2,0.176,654.980575013,grade9
2,0.198,513.874791132,grade10
2,0.22,1385.676413765,grade11
2,0.44,197.21655317000003,grade12
2,0.66,204.14628072000002,grade13
2,0.88,225.76374759700002,grade14
2,1.1,97.59597515,grade15
2,1.32,4.902841637,grade16
2,1.54,24.25986538,grade17
2,1.76,4.570334328,grade18
2,1.98,2.624658471,grade19
2,2.2,11.910846531,grade20
2,4.4,2.5690068090000002,grade21
2,6.6,15.471521888000002,grade22
2,8.8,20.436741707000003,grade23
2,20.9,0,grade24
3,0.002,255.63498800000002,grade1
3,0.022,336.478107158,grade2
3,0.044,219.224160955,grade3
3,0.066,232.767219401,grade4
3,0.088,185.573654416,grade5
3,0.11,83.582892309,grade6
3,0.132,83.914190941,grade7
3,0.154,54.214042333,grade8
3,0.176,35.285106673,grade9
3,0.198,52.501403723,grade10
3,0.22,402.096180694,grade11
3,0.44,82.87706059,grade12
3,0.66,45.450901820000006,grade13
3,0.88,64.812121843,grade14
3,1.1,40.781875848000006,grade15
3,1.32,4.491474098,grade16
3,1.54,0,grade17
3,1.76,0.12488212400000001,grade18
3,1.98,5.627802040000001,grade19
3,2.2,9.429595336,grade20
3,4.4,0,grade21
3,6.6,0,grade22
3,8.8,0,grade23
3,20.9,0,grade24
