# Groundwater resource supply curves for all basins - 25% extraction scenario
# Based on global hydrogeological maps and cost extraction model
# Source: Yonkofski et al. (in review) Cost and accessibility of global non-renewable groundwater resources
# Units: price in 1975USD; available in km3
basin.id,price,available,grade
7,4.4,0.022256896,grade21
7,6.6,0.122063477,grade22
7,8.8,0,grade23
7,20.9,0,grade24
8,0.002,69.869500527,grade1
8,0.022,138.66463618900002,grade2
8,0.044,127.99491430500001,grade3
8,0.066,55.267036739000005,grade4
8,0.088,22.298877544,grade5
8,0.11,24.11246221,grade6
8,0.132,20.508060982,grade7
8,0.154,14.015828577,grade8
8,0.176,11.619166602,grade9
8,0.198,7.968469465,grade10
8,0.22,52.83863695,grade11
8,0.44,5.574477944000001,grade12
8,0.66,0,grade13
8,0.88,0,grade14
8,1.1,0,grade15
8,1.32,0,grade16
8,1.54,0,grade17
8,1.76,0,grade18
8,1.98,0,grade19
8,2.2,0,grade20
8,4.4,0,grade21
8,6.6,0,grade22
8,8.8,0,grade23
8,20.9,0,grade24
9,0.002,549.2864243260001,grade1
9,0.022,479.34609986900006,grade2
9,0.044,356.5954356568,grade3
9,0.066,306.142508895,grade4
9,0.088,119.8948613611,grade5
9,0.11,183.9970915909,grade6
9,0.132,94.1160673287,grade7
9,0.154,57.7599406723,grade8
9,0.176,83.63128010450001,grade9
9,0.198,36.358179189800005,grade10
9,0.22,353.4655168883,grade11
9,0.44,130.4742212756,grade12
9,0.66,32.883621314,grade13
9,0.88,61.5175050522,grade14
9,1.1,11.359738576000002,grade15
9,1.32,2.500828094,grade16
9,1.54,6.809773713,grade17
9,1.76,0,grade18
9,1.98,0,grade19
9,2.2,0.949989713,grade20
9,4.4,0.7333279549000001,grade21
9,6.6,0,grade22
9,8.8,0.0680772756,grade23
9,20.9,0,grade24
10,0.002,87.825262846,grade1
10,0.022,704.915797008,grade2
10,0.044,530.9502716210001,grade3
10,0.066,236.370839308,grade4
10,0.088,149.403739129,grade5
10,0.11,152.44697311000002,grade6
10,0.132,189.22223835600002,grade7
